set_name,label,pipeline,kps_img1,kps_img2,good_matches,inliers,inlier_ratio,t_detect_s,t_match_s,t_ransac_s,t_total_s
different_1,different,ORB+BF,980,420,14,6,0.429,0.0065,0.0092,0.0025,0.0182
different_1,different,SIFT+FLANN,1207,1007,7,4,0.571,0.0577,0.0407,0.0008,0.0992
same_1,same,ORB+BF,980,1172,90,53,0.589,0.0078,0.0045,0.0012,0.0136
same_1,same,SIFT+FLANN,1207,1361,168,110,0.655,0.0588,0.0453,0.0010,0.1050
different_2,different,ORB+BF,1127,648,11,4,0.364,0.0069,0.0036,0.0047,0.0152
different_2,different,SIFT+FLANN,1050,979,1,0,0.000,0.0571,0.0432,0.0000,0.1003
same_2,same,ORB+BF,420,536,27,19,0.704,0.0062,0.0016,0.0010,0.0088
same_2,same,SIFT+FLANN,1007,1115,127,119,0.937,0.0613,0.0370,0.0007,0.0990
different_3,different,ORB+BF,821,882,3,0,0.000,0.0065,0.0031,0.0000,0.0096
different_3,different,SIFT+FLANN,1049,830,9,4,0.444,0.0597,0.0363,0.0020,0.0979
same_3,same,ORB+BF,1127,911,24,17,0.708,0.0073,0.0041,0.0008,0.0122
same_3,same,SIFT+FLANN,1050,1109,95,88,0.926,0.0576,0.0374,0.0007,0.0957
different_4,different,ORB+BF,2576,648,13,5,0.385,0.0119,0.0068,0.0042,0.0229
different_4,different,SIFT+FLANN,3057,979,31,12,0.387,0.0697,0.0777,0.0031,0.1505
same_4,same,ORB+BF,648,821,26,21,0.808,0.0066,0.0031,0.0006,0.0102
same_4,same,SIFT+FLANN,979,1049,142,116,0.817,0.0572,0.0420,0.0007,0.0999
different_5,different,ORB+BF,420,2484,5,0,0.000,0.0101,0.0042,0.0023,0.0165
different_5,different,SIFT+FLANN,1007,2147,0,0,0.000,0.0654,0.0540,0.0000,0.1193
same_5,same,ORB+BF,882,634,102,76,0.745,0.0060,0.0024,0.0006,0.0090
same_5,same,SIFT+FLANN,830,629,122,111,0.910,0.0402,0.0253,0.0006,0.0661
different_6,different,ORB+BF,2422,2401,9,4,0.444,0.0243,0.0241,0.0018,0.0502
different_6,different,SIFT+FLANN,2330,1939,36,8,0.222,0.0611,0.0785,0.0241,0.1638
same_6,same,ORB+BF,2576,2616,86,31,0.360,0.0161,0.0219,0.0041,0.0420
same_6,same,SIFT+FLANN,1725,1715,54,20,0.370,0.0562,0.0589,0.0036,0.1188
different_7,different,ORB+BF,2692,2484,23,5,0.217,0.0159,0.0224,0.0246,0.0630
different_7,different,SIFT+FLANN,2294,2147,10,4,0.400,0.0679,0.0812,0.0028,0.1519
same_7,same,ORB+BF,2576,2563,66,44,0.667,0.0240,0.0410,0.0010,0.0660
same_7,same,SIFT+FLANN,3057,3066,140,121,0.864,0.1047,0.1635,0.0009,0.2691
different_8,different,ORB+BF,2509,2532,47,7,0.149,0.0224,0.0267,0.0335,0.0826
different_8,different,SIFT+FLANN,1603,2557,14,5,0.357,0.0804,0.1005,0.0056,0.1865
same_8,same,ORB+BF,2484,2491,367,289,0.787,0.0202,0.0330,0.0013,0.0545
same_8,same,SIFT+FLANN,2147,2342,475,402,0.846,0.0832,0.1057,0.0014,0.1903
different_9,different,ORB+BF,2509,2484,59,8,0.136,0.0212,0.0418,0.0326,0.0955
different_9,different,SIFT+FLANN,1603,2147,20,10,0.500,0.0849,0.0879,0.0020,0.1747
same_9,same,ORB+BF,2692,2663,80,40,0.500,0.0286,0.0320,0.0019,0.0625
same_9,same,SIFT+FLANN,2294,2339,119,48,0.403,0.0911,0.1303,0.0045,0.2259
different_10,different,ORB+BF,980,2570,12,4,0.333,0.0170,0.0172,0.0074,0.0415
different_10,different,SIFT+FLANN,1207,2420,6,0,0.000,0.0777,0.0808,0.0021,0.1606
same_10,same,ORB+BF,2570,2460,126,64,0.508,0.0206,0.0432,0.0020,0.0658
same_10,same,SIFT+FLANN,2420,2449,224,126,0.562,0.0881,0.1221,0.0018,0.2119
UiA_pair,scene,ORB+BF,3000,3000,25,8,0.320,0.0578,0.0488,0.0093,0.1159
UiA_pair,scene,SIFT+FLANN,6455,3931,192,15,0.078,0.4566,0.3064,0.0409,0.8039
